2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 543, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry1 for entry = 544, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 545, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5281) in creature_equip_template.itemEntry1 for entry = 550, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1910) in creature_equip_template.itemEntry1 for entry = 564, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1904) in creature_equip_template.itemEntry1 for entry = 566, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1983) in creature_equip_template.itemEntry1 for entry = 567, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 568, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2051) in creature_equip_template.itemEntry2 for entry = 568, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 576, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5278) in creature_equip_template.itemEntry1 for entry = 579, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 580, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2809) in creature_equip_template.itemEntry2 for entry = 580, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=10685) in creature_equip_template.itemEntry1 for entry = 584, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2180) in creature_equip_template.itemEntry1 for entry = 586, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1901) in creature_equip_template.itemEntry1 for entry = 587, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1985) in creature_equip_template.itemEntry2 for entry = 587, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 589, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1906) in creature_equip_template.itemEntry1 for entry = 592, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2051) in creature_equip_template.itemEntry2 for entry = 594, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry1 for entry = 595, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5870) in creature_equip_template.itemEntry3 for entry = 595, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5304) in creature_equip_template.itemEntry1 for entry = 596, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5289) in creature_equip_template.itemEntry1 for entry = 597, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1910) in creature_equip_template.itemEntry1 for entry = 598, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=42166) in creature_equip_template.itemEntry1 for entry = 599, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=4991) in creature_equip_template.itemEntry1 for entry = 601, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1909) in creature_equip_template.itemEntry1 for entry = 603, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2178) in creature_equip_template.itemEntry1 for entry = 605, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1908) in creature_equip_template.itemEntry1 for entry = 606, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1983) in creature_equip_template.itemEntry1 for entry = 607, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3364) in creature_equip_template.itemEntry1 for entry = 609, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2023) in creature_equip_template.itemEntry1 for entry = 615, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 619, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2552) in creature_equip_template.itemEntry3 for entry = 622, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1910) in creature_equip_template.itemEntry1 for entry = 623, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1910) in creature_equip_template.itemEntry1 for entry = 626, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 634, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5285) in creature_equip_template.itemEntry1 for entry = 636, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry1 for entry = 638, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2179) in creature_equip_template.itemEntry1 for entry = 639, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2147) in creature_equip_template.itemEntry2 for entry = 639, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 641, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5856) in creature_equip_template.itemEntry3 for entry = 641, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3494) in creature_equip_template.itemEntry1 for entry = 643, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=11506) in creature_equip_template.itemEntry2 for entry = 643, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3326) in creature_equip_template.itemEntry1 for entry = 644, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2200) in creature_equip_template.itemEntry1 for entry = 645, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2179) in creature_equip_template.itemEntry1 for entry = 646, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2179) in creature_equip_template.itemEntry1 for entry = 646, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2179) in creature_equip_template.itemEntry2 for entry = 646, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 648, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 649, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 650, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2558) in creature_equip_template.itemEntry1 for entry = 651, forced to 0.
